,country,date_local,longitude,latitude,rh_average,blh_average,tp_average,e_average,skt_average,sp_average,t2m_average,tcwv_average,ws_average,ndvi_average,elevation,nl,clc,ghaod_average,value
0,CZ,2018-01-01,14.44593334198,50.0073051452637,84.8656463623047,1425.1071777343802,6.164898422866829e-06,-5.547846376430239e-05,280.782501220703,96818.3515625,280.922637939453,9.62835216522217,5.494684219360349,0.16200000047683702,297.8038,255,3,0.0790679976344109,6.76
686,CZ,2018-01-01,14.4426918029785,50.0814819335937,83.40614318847659,1427.9387207031198,7.91014826972969e-06,-5.7356912293471396e-05,280.91949462890597,97087.1171875,281.131134033203,9.67385196685791,5.57279872894287,0.0489999987185001,212.3033,255,1,0.0861020013689995,4.4
1018,CZ,2018-01-01,14.3981409072876,50.0731353759766,83.3930282592773,1428.12487792969,6.775933798053299e-06,-5.7430766901234205e-05,280.888214111328,97020.9140625,281.089599609375,9.6063814163208,5.60620927810669,0.1266999989748,250.9307,255,1,0.0871496647596359,10.8
1359,CZ,2018-01-01,14.465683937072802,48.9843864440918,83.2624130249023,1086.94274902344,3.37632263835985e-06,-3.57127173629124e-05,279.32110595703097,94728.75,279.13330078125,9.22035312652588,4.650469303131099,0.129999995231628,385.2185,255,1,0.0882150009274483,14.2
1671,CZ,2018-01-01,16.7244968414307,48.7917671203613,61.954551696777294,378.895263671875,1.00146135082468e-05,-2.7283915187581398e-05,279.185180664062,98651.796875,278.336273193359,13.108623504638699,2.7292859554290803,0.321700006723404,239.3933,43,2,0.0845712497830391,27.0
2009,CZ,2018-01-01,16.0601272583008,48.8429565429688,66.5836944580078,754.8648071289059,3.81034033125616e-06,-4.7830275434535e-05,279.77398681640597,97213.3203125,280.008392333984,11.4980878829956,3.91232633590698,0.18689998984336897,232.9062,255,1,0.0792699977755547,28.2
2349,CZ,2018-01-01,16.5936431884766,49.198089599609396,70.19284820556639,449.998107910156,1.4066996300243801e-05,-3.9068694604793604e-05,278.355621337891,96929.7421875,278.125946044922,12.0003156661987,2.8612618446350098,0.142999991774559,282.9123,255,1,0.0679053366184235,24.4
2667,CZ,2018-01-01,16.696216583252,49.14897155761721,68.61465454101561,367.576599121094,1.4474971067102201e-05,-3.39608886861242e-05,278.320068359375,97358.7734375,277.87847900390597,12.3310451507568,2.7437047958374,0.185999989509583,239.4138,250,1,0.0770249962806702,36.4
3009,CZ,2018-01-01,16.678024291992198,49.21321105957029,69.84812164306639,407.882171630859,1.4989017472544199e-05,-3.7290108593879295e-05,278.261505126953,96954.0625,277.934478759766,12.110776901245101,2.8132276535034197,0.13669998943805697,309.0155,247,3,0.073462001979351,25.6
3473,CZ,2018-01-01,12.6728181838989,50.172824859619105,80.0769882202148,1127.57592773438,3.4242093533976004e-05,-4.8575700930086896e-05,277.448455810547,93653.3203125,277.754119873047,7.36107969284058,5.5877804756164595,0.16799999773502303,455.5981,255,1,0.0386050008237362,4.4
